Company Name,Skills,more_info
PureTechCodexPrivateLimited,"rest,python,database,django,debugging,mongodb",https://www.timesjobs.com/job-detail/python-pure-tech-codex-private-limited-pune-2-to-3-yrs-jobid-OHwfF0d6EhNzpSvf__PLUS__uAgZw==&source=srp
SuryaInformaticsSolutionsPvt.Ltd.,"python,webtechnologies,linux,mobile,mysql,angularjs,javascript",https://www.timesjobs.com/job-detail/python-surya-informatics-solutions-pvt-ltd-chennai-0-to-3-yrs-jobid-UVlLes58wutzpSvf__PLUS__uAgZw==&source=srp
GeminiSolutions,"python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase",https://www.timesjobs.com/job-detail/qa-python-python-sdet-gemini-solutions-gurgaon-4-to-7-yrs-jobid-eGMLzwOk2QlzpSvf__PLUS__uAgZw==&source=srp
"RESEARCHDEVELOPERS
(MoreJobs)","python,research,pythonprogrammer,MachineLearning,PatternRecognition,ImageProcessing,DigitalImage,SignalProcessing,ElectronicCircuits,NetworkAnalysis",https://www.timesjobs.com/job-detail/python-developer-python-programmer-research-developers-delhi-delhi-ncr-noida-greater-noida-0-to-3-yrs-jobid-3MUarDWEYwBzpSvf__PLUS__uAgZw==&source=srp
TEAMPLUSSTAFFINGSOLUTIONPVT.LTD.,"python,pythonscripting,shellscripting,unix",https://www.timesjobs.com/job-detail/python-developer-teamplus-staffing-solution-pvt-ltd-pune-6-to-9-yrs-jobid-bjMgIT2lz6JzpSvf__PLUS__uAgZw==&source=srp
"2COMSConsultingPvtLtd
(MoreJobs)",PythonDeveloper,https://www.timesjobs.com/job-detail/python-developer-2coms-gurgaon-3-to-7-yrs-jobid-__PLUS____SLASH__6bzN7KKYhzpSvf__PLUS__uAgZw==&source=srp
TECHNOPARKTRIVANDRUM,"fundamentals,python,programminglanguage",https://www.timesjobs.com/job-detail/fresher-python-technopark-trivandrum-thiruvananthapuram-0-to-3-yrs-jobid-BzVxxiK6pnZzpSvf__PLUS__uAgZw==&source=srp
GSLAB,"python,linux,debugging,unix",https://www.timesjobs.com/job-detail/python-automation-gs-lab-pune-3-to-5-yrs-jobid-Gscx7G6MVLRzpSvf__PLUS__uAgZw==&source=srp
IvanInfotechPvt.Ltd.,"rest,python,security,debugging",https://www.timesjobs.com/job-detail/python-developer-ivan-infotech-pvt-ltd-kolkata-2-to-5-yrs-jobid-1h6sLaqbaBZzpSvf__PLUS__uAgZw==&source=srp
"HIRINGSTREET
(MoreJobs)","python,,Django,Jquery",https://www.timesjobs.com/job-detail/python-developer-hiring-street-kolkata-2-to-6-yrs-jobid-IieIOSIHCn9zpSvf__PLUS__uAgZw==&source=srp
TECHNOPARKTRIVANDRUM,"python,oops,storage",https://www.timesjobs.com/job-detail/python-developer-technopark-trivandrum-thiruvananthapuram-2-to-5-yrs-jobid-pNKdGrN4Lg9zpSvf__PLUS__uAgZw==&source=srp
TandAHRSolutions,"Djangoframework,PythonDeveloper,corepython",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-mohali-3-to-5-yrs-jobid-GTT0grHZP1tzpSvf__PLUS__uAgZw==&source=srp
eastindiasecuritiesltd.,"python,hadoop,machinelearning",https://www.timesjobs.com/job-detail/python-engineer-east-india-securities-ltd-kolkata-2-to-5-yrs-jobid-KEkE19WqPbFzpSvf__PLUS__uAgZw==&source=srp
sjainventures,"python,webdeveloper,webservices",https://www.timesjobs.com/job-detail/python-intern-sjain-ventures-raipur-0-to-3-yrs-jobid-KmspiL9__SLASH__D9hzpSvf__PLUS__uAgZw==&source=srp
systango,"python,django,javascript,webprogramming",https://www.timesjobs.com/job-detail/python-developer-systango-indore-5-to-8-yrs-jobid-YtDomXdajg5zpSvf__PLUS__uAgZw==&source=srp
TandAHRSolutions,"python,django,sql",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-gurgaon-0-to-3-yrs-jobid-dMtCdFUMRY5zpSvf__PLUS__uAgZw==&source=srp
METADESIGNSOLUTIONS,"python,django,html5,javascript",https://www.timesjobs.com/job-detail/python-developer-metadesign-solutions-gurgaon-2-to-5-yrs-jobid-2HZFYHdprdhzpSvf__PLUS__uAgZw==&source=srp
TandAHRSolutions,"python,git,django",https://www.timesjobs.com/job-detail/python-developer-tanda-hr-solutions-chandigarh-5-to-8-yrs-jobid-id252yPhiLZzpSvf__PLUS__uAgZw==&source=srp
"BRRaysoftGlobalPvtLtd
(MoreJobs)","Python,Django",https://www.timesjobs.com/job-detail/python-developer-br-raysoft-global-pvt-ltd-bengaluru-bangalore-4-to-9-yrs-jobid-0cpok2KPgrZzpSvf__PLUS__uAgZw==&source=srp
TandAHRSolutions,"python,git,django",https://www.timesjobs.com/job-detail/python-developers-tanda-hr-solutions-chandigarh-2-to-5-yrs-jobid-OtVSvO0kmYNzpSvf__PLUS__uAgZw==&source=srp
TEAMPLUSSTAFFINGSOLUTIONPVT.LTD.,"Python2,knowledgeofJIRA,Terraform",https://www.timesjobs.com/job-detail/python-devops-teamplus-staffing-solution-pvt-ltd-pune-0-to-3-yrs-jobid-rCX83h0ULeBzpSvf__PLUS__uAgZw==&source=srp
TEAMPLUSSTAFFINGSOLUTIONPVT.LTD.,"algorithms,security,python,datastructures",https://www.timesjobs.com/job-detail/python-developer-teamplus-staffing-solution-pvt-ltd-bengaluru-bangalore-0-to-3-yrs-jobid-2CO6Cv8SzIFzpSvf__PLUS__uAgZw==&source=srp
TEAMPLUSSTAFFINGSOLUTIONPVT.LTD.,"python,database,security,django,debugging",https://www.timesjobs.com/job-detail/python-developer-teamplus-staffing-solution-pvt-ltd-pune-5-to-8-yrs-jobid-LFOyEssJt0BzpSvf__PLUS__uAgZw==&source=srp
APPLYCUPHIRINGSOLUTIONSLLP,"python,webtechnologies,webtechnologies",https://www.timesjobs.com/job-detail/python-trainer-applycup-hiring-solutions-llp-pune-4-to-6-yrs-jobid-3V1Biww1YVJzpSvf__PLUS__uAgZw==&source=srp
brickred(3pillarglobal),"sql,docker,postgresql,python,messaging,forms",https://www.timesjobs.com/job-detail/python-developer-brickred-3pillar-global-0-to-3-yrs-jobid-NmQ8svNSOhBzpSvf__PLUS__uAgZw==&source=srp
